肖申克的救赎,1,9.6,887178人评价,希望让人自由。,https://movie.douban.com/subject/1292052/
霸王别姬,2,9.5,638387人评价,风华绝代。,https://movie.douban.com/subject/1291546/
这个杀手不太冷,3,9.4,846727人评价,怪蜀黍和小萝莉不得不说的故事。,https://movie.douban.com/subject/1295644/
阿甘正传,4,9.4,721187人评价,一部美国近现代史。,https://movie.douban.com/subject/1292720/
美丽人生,5,9.5,420865人评价,最美的谎言。,https://movie.douban.com/subject/1292063/
千与千寻,6,9.2,672503人评价,最好的宫崎骏，最好的久石让。 ,https://movie.douban.com/subject/1291561/
辛德勒的名单,7,9.4,387659人评价,拯救一个人，就是拯救整个世界。,https://movie.douban.com/subject/1295124/
泰坦尼克号,8,9.2,663159人评价,失去的才是永恒的。 ,https://movie.douban.com/subject/1292722/
盗梦空间,9,9.2,772763人评价,诺兰给了我们一场无法盗取的梦。,https://movie.douban.com/subject/3541415/
机器人总动员,10,9.3,504570人评价,小瓦力，大人生。,https://movie.douban.com/subject/2131459/
海上钢琴师,11,9.2,605410人评价,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,https://movie.douban.com/subject/1292001/
三傻大闹宝莱坞,12,9.1,682469人评价,英俊版憨豆，高情商版谢耳朵。,https://movie.douban.com/subject/3793023/
忠犬八公的故事,13,9.2,462262人评价,永远都不能忘记你所爱的人。,https://movie.douban.com/subject/3011091/
放牛班的春天,14,9.2,458419人评价,天籁一般的童声，是最接近上帝的存在。 ,https://movie.douban.com/subject/1291549/
大话西游之大圣娶亲,15,9.2,495025人评价,一生所爱。,https://movie.douban.com/subject/1292213/
龙猫,16,9.1,423890人评价,人人心中都有个龙猫，童年就永远不会消失。,https://movie.douban.com/subject/1291560/
教父,17,9.2,347804人评价,千万不要记恨你的对手，这样会让你失去理智。,https://movie.douban.com/subject/1291841/
楚门的世界,18,9.1,462039人评价,如果再也不能见到你，祝你早安，午安，晚安。,https://movie.douban.com/subject/1292064/
乱世佳人,19,9.2,274091人评价,Tomorrow is another day.,https://movie.douban.com/subject/1300267/
天堂电影院,20,9.1,312695人评价,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,https://movie.douban.com/subject/1291828/
触不可及,21,9.1,370384人评价,满满温情的高雅喜剧。,https://movie.douban.com/subject/6786002/
当幸福来敲门,22,8.9,545040人评价,平民励志片。 ,https://movie.douban.com/subject/1849031/
熔炉,23,9.2,257231人评价,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,https://movie.douban.com/subject/5912992/
无间道,24,9.0,404615人评价,香港电影史上永不过时的杰作。,https://movie.douban.com/subject/1307914/
搏击俱乐部,25,9.0,407585人评价,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,https://movie.douban.com/subject/1292000/
十二怒汉,26,9.4,173298人评价,1957年的理想主义。 ,https://movie.douban.com/subject/1293182/
怦然心动,27,8.9,553981人评价,真正的幸福是来自内心深处。,https://movie.douban.com/subject/3319755/
星际穿越,28,9.1,490676人评价,爱是一种力量，让我们超越时空感知它的存在。,https://movie.douban.com/subject/1889243/
指环王3：王者无敌,29,9.1,287390人评价,史诗的终章。,https://movie.douban.com/subject/1291552/
少年派的奇幻漂流,30,9.0,583883人评价,瑰丽壮观、无人能及的冒险之旅。,https://movie.douban.com/subject/1929463/
天空之城,31,9.0,335806人评价,对天空的追逐，永不停止。 ,https://movie.douban.com/subject/1291583/
鬼子来了,32,9.2,230782人评价,对敌人的仁慈，就是对自己残忍。,https://movie.douban.com/subject/1291858/
蝙蝠侠：黑暗骑士,33,9.0,324020人评价,无尽的黑暗。,https://movie.douban.com/subject/1851857/
罗马假日,34,8.9,388803人评价,爱情哪怕只有一天。,https://movie.douban.com/subject/1293839/
活着,35,9.1,269381人评价,张艺谋最好的电影。,https://movie.douban.com/subject/1292365/
大话西游之月光宝盒,36,8.9,400020人评价,旷古烁今。,https://movie.douban.com/subject/1299398/
两杆大烟枪,37,9.0,275222人评价,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,https://movie.douban.com/subject/1293350/
飞屋环游记,38,8.9,501157人评价,最后那些最无聊的事情，才是最值得怀念的。 ,https://movie.douban.com/subject/2129039/
窃听风暴,39,9.1,224271人评价,别样人生。,https://movie.douban.com/subject/1900841/
飞越疯人院,40,9.0,279070人评价,自由万岁。,https://movie.douban.com/subject/1292224/
海豚湾,41,9.3,182551人评价,海豚的微笑，是世界上最高明的伪装。,https://movie.douban.com/subject/3442220/
闻香识女人,42,8.9,323043人评价,史上最美的探戈。,https://movie.douban.com/subject/1298624/
V字仇杀队,43,8.8,417606人评价,一张面具背后的理想与革命。,https://movie.douban.com/subject/1309046/
哈尔的移动城堡,44,8.9,350173人评价,带着心爱的人在天空飞翔。,https://movie.douban.com/subject/1308807/
教父2,45,9.1,187241人评价,优雅的孤独。,https://movie.douban.com/subject/1299131/
美丽心灵,46,8.9,305505人评价,爱是一切逻辑和原由。,https://movie.douban.com/subject/1306029/
指环王2：双塔奇兵,47,8.9,271140人评价,承前启后的史诗篇章。,https://movie.douban.com/subject/1291572/
指环王1：魔戒再现,48,8.9,302962人评价,传说的开始。,https://movie.douban.com/subject/1291571/
控方证人,49,9.6,87509人评价,比利·怀德满分作品。,https://movie.douban.com/subject/1296141/
死亡诗社,50,8.9,277910人评价,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,https://movie.douban.com/subject/1291548/
情书,51,8.8,374813人评价,暗恋的极致。,https://movie.douban.com/subject/1292220/
天使爱美丽,52,8.7,482229人评价,法式小清新。 ,https://movie.douban.com/subject/1292215/
美国往事,53,9.1,174462人评价,往事如烟，无处祭奠。,https://movie.douban.com/subject/1292262/
辩护人,54,9.1,202020人评价,电影的现实意义大过电影本身。,https://movie.douban.com/subject/21937445/
饮食男女,55,9.0,196270人评价,人生不能像做菜，把所有的料都准备好了才下锅。,https://movie.douban.com/subject/1291818/
钢琴家,56,9.0,202680人评价,音乐能化解仇恨。,https://movie.douban.com/subject/1296736/
七宗罪,57,8.7,434589人评价,警察抓小偷，老鼠玩死猫。,https://movie.douban.com/subject/1292223/
狮子王,58,8.9,280896人评价,动物版《哈姆雷特》。,https://movie.douban.com/subject/1301753/
被嫌弃的松子的一生,59,8.9,280897人评价,以戏谑来戏谑戏谑。,https://movie.douban.com/subject/1787291/
致命魔术,60,8.8,342162人评价,孪生蝙蝠侠大战克隆金刚狼。,https://movie.douban.com/subject/1780330/
小鞋子,61,9.2,135980人评价,奔跑的孩子是天使。,https://movie.douban.com/subject/1303021/
勇敢的心,62,8.8,294723人评价,史诗大片的典范。,https://movie.douban.com/subject/1294639/
疯狂动物城,63,9.2,493393人评价,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,https://movie.douban.com/subject/25662329/
剪刀手爱德华,64,8.7,482044人评价,浪漫忧郁的成人童话。,https://movie.douban.com/subject/1292370/
音乐之声,65,8.9,230915人评价,用音乐化解仇恨，让歌声串起美好。,https://movie.douban.com/subject/1294408/
低俗小说,66,8.7,332351人评价,故事的高级讲法。,https://movie.douban.com/subject/1291832/
素媛,67,9.1,175059人评价,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,https://movie.douban.com/subject/21937452/
本杰明·巴顿奇事,68,8.7,391047人评价,在时间之河里感受溺水之苦。,https://movie.douban.com/subject/1485260/
入殓师,69,8.8,317324人评价,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,https://movie.douban.com/subject/2149806/
沉默的羔羊,70,8.7,350896人评价,安东尼·霍普金斯的顶级表演。,https://movie.douban.com/subject/1293544/
黑客帝国,71,8.8,278483人评价,视觉革命。,https://movie.douban.com/subject/1291843/
拯救大兵瑞恩,72,8.8,235332人评价,美利坚精神输出大片No1.,https://movie.douban.com/subject/1292849/
西西里的美丽传说,73,8.7,343937人评价,美丽无罪。,https://movie.douban.com/subject/1292402/
玛丽和马克思,74,8.9,231322人评价,你是我最好的朋友，你是我唯一的朋友 。,https://movie.douban.com/subject/3072124/
蝴蝶效应,75,8.7,378613人评价,人的命运被自己瞬间的抉择改变。,https://movie.douban.com/subject/1292343/
心灵捕手,76,8.7,267650人评价,人生中应该拥有这样的一段豁然开朗。,https://movie.douban.com/subject/1292656/
春光乍泄,77,8.8,242717人评价,爱情纠缠，男女一致。,https://movie.douban.com/subject/1292679/
让子弹飞,78,8.7,616690人评价,你给我翻译翻译，神马叫做TMD的惊喜。,https://movie.douban.com/subject/3742360/
幽灵公主,79,8.8,232255人评价,人与自然的战争史诗。,https://movie.douban.com/subject/1297359/
第六感,80,8.8,232396人评价,深入内心的恐怖，出人意料的结局。,https://movie.douban.com/subject/1297630/
阳光灿烂的日子,81,8.7,267108人评价,一场华丽的意淫。,https://movie.douban.com/subject/1291875/
大闹天宫,82,9.2,96820人评价,经典之作，历久弥新。,https://movie.douban.com/subject/1418019/
大鱼,83,8.7,249401人评价,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,https://movie.douban.com/subject/1291545/
重庆森林,84,8.6,325077人评价,寂寞没有期限。,https://movie.douban.com/subject/1291999/
射雕英雄传之东成西就,85,8.7,272346人评价,百看不厌。 ,https://movie.douban.com/subject/1316510/
禁闭岛,86,8.6,354054人评价,昔日翩翩少年，今日大腹便便。,https://movie.douban.com/subject/2334904/
甜蜜蜜,87,8.7,229791人评价,相逢只要一瞬间，等待却像是一辈子。,https://movie.douban.com/subject/1305164/
阳光姐妹淘,88,8.8,264781人评价,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,https://movie.douban.com/subject/4917726/
上帝之城,89,8.9,156504人评价,被上帝抛弃了的上帝之城。,https://movie.douban.com/subject/1292208/
致命ID,90,8.6,313662人评价,最不可能的那个人永远是最可能的。,https://movie.douban.com/subject/1297192/
一一,91,8.9,153519人评价,我们都曾经是一一。,https://movie.douban.com/subject/1292434/
告白,92,8.7,337205人评价,没有一人完全善，也没有一人完全恶。,https://movie.douban.com/subject/4268598/
狩猎,93,9.0,124344人评价,人言可畏。,https://movie.douban.com/subject/6985810/
布达佩斯大饭店,94,8.7,302322人评价,小清新的故事里注入了大历史的情怀。,https://movie.douban.com/subject/11525673/
加勒比海盗,95,8.6,337802人评价,约翰尼·德普的独角戏。,https://movie.douban.com/subject/1298070/
末代皇帝,96,8.9,160474人评价,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,https://movie.douban.com/subject/1293172/
断背山,97,8.6,313339人评价,每个人心中都有一座断背山。,https://movie.douban.com/subject/1418834/
爱在黎明破晓前,98,8.7,216105人评价,缘分是个连绵词，最美不过一瞬。,https://movie.douban.com/subject/1296339/
摩登时代,99,9.2,86148人评价,大时代中的人生，小人物的悲喜。,https://movie.douban.com/subject/1294371/
阿凡达,100,8.6,520823人评价,绝对意义上的美轮美奂。,https://movie.douban.com/subject/1652587/
猫鼠游戏,101,8.7,217633人评价,骗子大师和执著警探的你追我跑故事。 ,https://movie.douban.com/subject/1305487/
哈利·波特与魔法石,102,8.7,246910人评价,童话世界的开端。,https://movie.douban.com/subject/1295038/
风之谷,103,8.8,173145人评价,动画片的圣经。,https://movie.douban.com/subject/1291585/
爱在日落黄昏时,104,8.7,195047人评价,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,https://movie.douban.com/subject/1291990/
侧耳倾听,105,8.8,164643人评价,少女情怀总是诗。,https://movie.douban.com/subject/1297052/
穿条纹睡衣的男孩,106,8.9,138867人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,https://movie.douban.com/subject/3008247/
萤火虫之墓,107,8.7,200340人评价,幸福是生生不息，却难以触及的远。 ,https://movie.douban.com/subject/1293318/
超脱,108,8.8,168827人评价,穷尽一生，我们要学会的，不过是彼此拥抱。,https://movie.douban.com/subject/5322596/
消失的爱人,109,8.7,344846人评价,年度最佳date movie。,https://movie.douban.com/subject/21318488/
驯龙高手,110,8.7,278862人评价,和谐的生活离不开摸头与被摸头。,https://movie.douban.com/subject/2353023/
幸福终点站,111,8.6,221180人评价,有时候幸福需要等一等。 ,https://movie.douban.com/subject/1292274/
菊次郎的夏天,112,8.7,177022人评价,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,https://movie.douban.com/subject/1293359/
海洋,113,9.0,97891人评价,大海啊，不全是水。,https://movie.douban.com/subject/3443389/
倩女幽魂,114,8.6,242769人评价,两张绝世的脸。 ,https://movie.douban.com/subject/1297447/
恐怖直播,115,8.7,211649人评价,恐怖分子的“秋菊打官司”。,https://movie.douban.com/subject/21360417/
七武士,116,9.2,75524人评价,时代悲歌。,https://movie.douban.com/subject/1295399/
岁月神偷,117,8.6,301800人评价,岁月流逝，来日可追。,https://movie.douban.com/subject/3792799/
神偷奶爸,118,8.5,365547人评价,Mr. I Don't Care其实也有Care的时候。,https://movie.douban.com/subject/3287562/
谍影重重3,119,8.7,176890人评价,像吃了苏打饼一样干脆的电影。,https://movie.douban.com/subject/1578507/
电锯惊魂,120,8.7,194813人评价,真相就在眼前。,https://movie.douban.com/subject/1417598/
借东西的小人阿莉埃蒂,121,8.7,211534人评价,曾经的那段美好会沉淀为一辈子的记忆。,https://movie.douban.com/subject/4202302/
红辣椒,122,8.9,128020人评价,梦的勾结。,https://movie.douban.com/subject/1865703/
燃情岁月,123,8.8,146727人评价,传奇，不是每个人都可以拥有。,https://movie.douban.com/subject/1295865/
真爱至上,124,8.5,302121人评价,爱，是个动词。,https://movie.douban.com/subject/1292401/
杀人回忆,125,8.6,204258人评价,关于连环杀人悬案的集体回忆。,https://movie.douban.com/subject/1300299/
雨人,126,8.6,205987人评价,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,https://movie.douban.com/subject/1291870/
贫民窟的百万富翁,127,8.5,389180人评价,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,https://movie.douban.com/subject/2209573/
记忆碎片,128,8.5,273058人评价,一个针管引发的血案。,https://movie.douban.com/subject/1304447/
东邪西毒,129,8.6,243770人评价,电影诗。,https://movie.douban.com/subject/1292328/
虎口脱险,130,8.9,104928人评价,永远看不腻的喜剧。,https://movie.douban.com/subject/1296909/
怪兽电力公司,131,8.6,232630人评价,不要给它起名字，起了名字就有感情了。,https://movie.douban.com/subject/1291579/
疯狂原始人,132,8.7,361907人评价,老少皆宜，这就是好莱坞动画的魅力。,https://movie.douban.com/subject/1907966/
喜宴,133,8.8,134770人评价,中国家庭的喜怒哀乐忍。,https://movie.douban.com/subject/1303037/
卢旺达饭店,134,8.8,116071人评价,当这个世界闭上双眼，他却敞开了怀抱。,https://movie.douban.com/subject/1291822/
小森林 夏秋篇,135,8.9,122849人评价,那些静得只能听见呼吸的日子里，你明白孤独即生活。,https://movie.douban.com/subject/25814705/
黑天鹅,136,8.5,407355人评价,黑暗之美。,https://movie.douban.com/subject/1978709/
喜剧之王,137,8.5,300730人评价,我是一个演员。,https://movie.douban.com/subject/1302425/
英雄本色,138,8.7,145470人评价,英雄泪短，兄弟情长。 ,https://movie.douban.com/subject/1297574/
魂断蓝桥,139,8.8,126632人评价,中国式内在的美国电影。,https://movie.douban.com/subject/1293964/
穿越时空的少女,140,8.6,181112人评价,爱上未来的你。 ,https://movie.douban.com/subject/1937946/
猜火车,141,8.5,243789人评价,不可猜的青春迷笛。 ,https://movie.douban.com/subject/1292528/
恋恋笔记本,142,8.5,273400人评价,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,https://movie.douban.com/subject/1309163/
雨中曲,143,8.9,90989人评价,骨灰级歌舞片。,https://movie.douban.com/subject/1293460/
傲慢与偏见,144,8.4,292522人评价,爱是摈弃傲慢与偏见之后的曙光。,https://movie.douban.com/subject/1418200/
教父3,145,8.7,125651人评价,任何信念的力量，都无法改变命运。,https://movie.douban.com/subject/1294240/
完美的世界,146,9.0,76864人评价,坏人的好总是比好人的好来得更感人。,https://movie.douban.com/subject/1300992/
纵横四海,147,8.7,138855人评价,香港浪漫主义警匪动作片的巅峰之作。,https://movie.douban.com/subject/1295409/
萤火之森,148,8.7,150791人评价,触不到的恋人。,https://movie.douban.com/subject/5989818/
玩具总动员3,149,8.7,187158人评价,跨度十五年的欢乐与泪水。,https://movie.douban.com/subject/1858711/
二十二,150,8.8,80698人评价,,https://movie.douban.com/subject/26430107/
7号房的礼物,151,8.7,166957人评价,《我是山姆》的《美丽人生》。,https://movie.douban.com/subject/10777687/
哈利·波特与死亡圣器(下),152,8.6,264885人评价,10年的完美句点。,https://movie.douban.com/subject/3011235/
花样年华,153,8.5,238424人评价,偷情本没有这样美。,https://movie.douban.com/subject/1291557/
人工智能,154,8.6,184603人评价,对爱的执着，可以超越一切。,https://movie.douban.com/subject/1302827/
我是山姆,155,8.8,99296人评价,爱并不需要智商 。,https://movie.douban.com/subject/1306861/
看不见的客人,156,8.7,219773人评价,,https://movie.douban.com/subject/26580232/
浪潮,157,8.7,127782人评价,世界离独裁只有五天。,https://movie.douban.com/subject/2297265/
香水,158,8.4,267979人评价,一个单凭体香达到高潮的男人。,https://movie.douban.com/subject/1760622/
冰川时代,159,8.4,261915人评价,松鼠才是角儿。,https://movie.douban.com/subject/1291578/
海边的曼彻斯特,160,8.6,155993人评价,我们都有权利不与自己的过去和解。,https://movie.douban.com/subject/25980443/
荒蛮故事,161,8.7,127489人评价,始于荒诞，止于更荒诞。,https://movie.douban.com/subject/24750126/
追随,162,8.9,79076人评价,诺兰的牛逼来源于内心散发出的恐惧。,https://movie.douban.com/subject/1397546/
朗读者,163,8.5,271849人评价,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,https://movie.douban.com/subject/2213597/
撞车,164,8.6,169865人评价,天使与魔鬼的冲撞。,https://movie.douban.com/subject/1388216/
一次别离,165,8.7,128083人评价,只有有信仰的人才能说出事实真相。,https://movie.douban.com/subject/5964718/
罗生门,166,8.7,119815人评价,人生的N种可能性。,https://movie.douban.com/subject/1291879/
时空恋旅人,167,8.6,189027人评价,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,https://movie.douban.com/subject/10577869/
心迷宫,168,8.6,151977人评价,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,https://movie.douban.com/subject/25917973/
小森林 冬春篇,169,8.9,105486人评价,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,https://movie.douban.com/subject/25814707/
唐伯虎点秋香,170,8.4,308309人评价,华太师是黄霑，吴镇宇四大才子之一。,https://movie.douban.com/subject/1306249/
超能陆战队,171,8.6,353195人评价,Balalala~~~,https://movie.douban.com/subject/11026735/
蝙蝠侠：黑暗骑士崛起,172,8.5,284791人评价,诺兰就是保证。,https://movie.douban.com/subject/3395373/
战争之王,173,8.5,169503人评价,做一颗让别人需要你的棋子。,https://movie.douban.com/subject/1419936/
梦之安魂曲,174,8.7,108348人评价,一场没有春天的噩梦。,https://movie.douban.com/subject/1292270/
可可西里,175,8.6,124664人评价,坚硬的信仰。,https://movie.douban.com/subject/1308857/
碧海蓝天,176,8.7,105846人评价,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,https://movie.douban.com/subject/1300960/
地球上的星星,177,8.8,80776人评价,天使保护事件始末。,https://movie.douban.com/subject/2363506/
秒速5厘米,178,8.3,283608人评价,青春就是放弃和怀念。,https://movie.douban.com/subject/2043546/
未麻的部屋,179,8.8,90638人评价,好的剧本是，就算你猜到了结局也猜不到全部。,https://movie.douban.com/subject/1395091/
恐怖游轮,180,8.3,307055人评价,不要企图在重复中寻找已经失去的爱。,https://movie.douban.com/subject/3011051/
爆裂鼓手,181,8.6,226943人评价,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,https://movie.douban.com/subject/25773932/
谍影重重2,182,8.5,153627人评价,谁说王家卫镜头很晃？,https://movie.douban.com/subject/1308767/
谍影重重,183,8.5,185285人评价,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,https://movie.douban.com/subject/1304102/
阿飞正传,184,8.5,173294人评价,王家卫是一种风格，张国荣是一个代表。,https://movie.douban.com/subject/1305690/
海盗电台,185,8.6,161458人评价,生命不止，摇滚不死。,https://movie.douban.com/subject/3007773/
达拉斯买家俱乐部,186,8.6,161341人评价,Jared Leto的腿比女人还美！,https://movie.douban.com/subject/1793929/
牯岭街少年杀人事件,187,8.7,101807人评价,弱者送给弱者的一刀。,https://movie.douban.com/subject/1292329/
惊魂记,188,8.8,79031人评价,故事的反转与反转，分裂电影的始祖。,https://movie.douban.com/subject/1293181/
魔女宅急便,189,8.4,186088人评价,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,https://movie.douban.com/subject/1307811/
再次出发之纽约遇见你,190,8.5,159466人评价,爱我就给我看你的播放列表。,https://movie.douban.com/subject/6874403/
被解救的姜戈,191,8.5,250290人评价,热血沸腾，那个低俗、性感的无耻混蛋又来了。,https://movie.douban.com/subject/6307447/
绿里奇迹,192,8.7,102369人评价,天使暂时离开。,https://movie.douban.com/subject/1300374/
东京物语,193,9.2,48241人评价,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,https://movie.douban.com/subject/1291568/
勇闯夺命岛,194,8.5,137352人评价,类型片的极致。 ,https://movie.douban.com/subject/1292728/
迁徙的鸟,195,9.1,50579人评价,最美的飞翔。,https://movie.douban.com/subject/1292281/
末路狂花,196,8.7,100182人评价,没有了退路，只好飞向自由。,https://movie.douban.com/subject/1291992/
荒野生存,197,8.6,122655人评价,出门必备：本草纲目。,https://movie.douban.com/subject/1905462/
卡萨布兰卡,198,8.6,120069人评价,与同名歌曲无关。,https://movie.douban.com/subject/1296753/
青蛇,199,8.4,210600人评价,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,https://movie.douban.com/subject/1303394/
终结者2：审判日,200,8.5,135566人评价,少见的超越首部的续集，动作片中的经典。,https://movie.douban.com/subject/1291844/
哪吒闹海,201,8.8,76182人评价,想你时你在闹海。,https://movie.douban.com/subject/1307315/
忠犬八公物语,202,9.0,54166人评价,养狗三日，便会对你终其一生。,https://movie.douban.com/subject/1959195/
这个男人来自地球,203,8.5,170723人评价,科幻真正的魅力不是视觉效果能取代的。 ,https://movie.douban.com/subject/2300586/
燕尾蝶,204,8.6,105143人评价,现实与童话交相辉映的旅程。,https://movie.douban.com/subject/1307793/
变脸,205,8.4,206492人评价,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,https://movie.douban.com/subject/1292659/
源代码,206,8.3,393991人评价,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,https://movie.douban.com/subject/3075287/
英国病人,207,8.4,168883人评价,"In memory, love lives forever...",https://movie.douban.com/subject/1291853/
E.T. 外星人,208,8.5,146558人评价,生病的E.T.皮肤的颜色就像柿子饼。,https://movie.douban.com/subject/1294638/
新龙门客栈,209,8.4,175067人评价,嬉笑怒骂，调风动月。,https://movie.douban.com/subject/1292287/
黄金三镖客,210,9.1,49132人评价,最棒的西部片。,https://movie.douban.com/subject/1401118/
发条橙,211,8.4,179537人评价,我完全康复了。,https://movie.douban.com/subject/1292233/
黑客帝国3：矩阵革命,212,8.5,148388人评价,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,https://movie.douban.com/subject/1302467/
城市之光,213,9.2,41250人评价,永远的小人物，伟大的卓别林。,https://movie.douban.com/subject/1293908/
美国丽人,214,8.4,177749人评价,每个人的内心都是深不可测的大海。 ,https://movie.douban.com/subject/1292062/
叫我第一名,215,8.6,104828人评价,乐观比一切都有力量。,https://movie.douban.com/subject/4798888/
无耻混蛋,216,8.4,214881人评价,昆汀同学越来越变态了，比北野武还杜琪峰。,https://movie.douban.com/subject/1438652/
穆赫兰道,217,8.3,225613人评价,大卫·林奇的梦境迷宫。,https://movie.douban.com/subject/1292217/
非常嫌疑犯,218,8.6,111364人评价,我不信仰上帝，但我敬畏上帝。,https://movie.douban.com/subject/1292214/
初恋这件小事,219,8.3,439450人评价,黑小鸭速效美白记。,https://movie.douban.com/subject/4739952/
勇士,220,8.9,84454人评价,热血沸腾，相当完美的娱乐拳击大餐。,https://movie.douban.com/subject/3217169/
上帝也疯狂,221,8.6,92475人评价,纯净原始的笑与感动。,https://movie.douban.com/subject/1297478/
模仿游戏,222,8.5,241711人评价,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,https://movie.douban.com/subject/10463953/
蓝色大门,223,8.3,265252人评价,青春的窃窃私语。 ,https://movie.douban.com/subject/1308575/
爱·回家,224,9.0,45483人评价,献给所有外婆的电影。,https://movie.douban.com/subject/1299361/
无敌破坏王,225,8.6,177389人评价,迪士尼和皮克斯拿错剧本的产物。,https://movie.douban.com/subject/6534248/
爱在午夜降临前,226,8.8,109166人评价,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,https://movie.douban.com/subject/10808442/
大卫·戈尔的一生,227,8.7,86099人评价,捍卫人权只是信仰，一点不妨碍其行为的残忍。,https://movie.douban.com/subject/1305725/
血钻,228,8.5,124264人评价,每个美丽事物背后都是滴血的现实。,https://movie.douban.com/subject/1428175/
国王的演讲,229,8.3,324248人评价,皇上无话儿。,https://movie.douban.com/subject/4023638/
曾经,230,8.3,196462人评价,有些幸福无关爱情。,https://movie.douban.com/subject/2053515/
枪火,231,8.6,94730人评价,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,https://movie.douban.com/subject/1300741/
麦兜故事,232,8.5,122738人评价,麦兜是一只很哲学的猪。 ,https://movie.douban.com/subject/1302476/
疯狂的石头,233,8.2,296529人评价,中国版《两杆大烟枪》。,https://movie.douban.com/subject/1862151/
暖暖内含光,234,8.4,138824人评价,恋爱是一次神经的冒险。就算失去记忆，也会爱上你。,https://movie.douban.com/subject/1308777/
房间,235,8.8,139289人评价,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,https://movie.douban.com/subject/25724855/
千钧一发,236,8.7,80414人评价,一部能引人思考的科幻励志片。,https://movie.douban.com/subject/1300117/
遗愿清单,237,8.5,120401人评价,用剩余不多的时间，去燃烧整个生命。,https://movie.douban.com/subject/1867345/
蝴蝶,238,8.6,92565人评价,我们长途跋涉寻找的东西，有可能一直就在身边。 ,https://movie.douban.com/subject/1292056/
荒岛余生,239,8.5,126425人评价,一个人的独角戏。,https://movie.douban.com/subject/1298653/
巴黎淘气帮,240,8.6,101714人评价,四百击的反面。,https://movie.douban.com/subject/3157605/
头脑特工队,241,8.7,208852人评价,愿我们都不用长大，每一座城堡都能永远存在。,https://movie.douban.com/subject/10533913/
与狼共舞,242,8.9,54198人评价,充满诗意与情怀的史诗作品。 ,https://movie.douban.com/subject/1293764/
月球,243,8.5,137153人评价,2009媲美《第九区》的又一部科幻神作。,https://movie.douban.com/subject/3073124/
偷拐抢骗,244,8.5,111720人评价,典型盖·里奇式的英国黑色幽默黑帮片。,https://movie.douban.com/subject/1301171/
我爱你,245,9.0,52859人评价,你要相信，这世上真的有爱存在，不管在什么年纪 ,https://movie.douban.com/subject/5908478/
夜访吸血鬼,246,8.3,190499人评价,弥漫淡淡血腥气的优雅。,https://movie.douban.com/subject/1299327/
彗星来的那一夜,247,8.4,160675人评价,小成本大魅力。,https://movie.douban.com/subject/25807345/
寿司之神,248,8.8,78380人评价,仪式主义的狂欢，偏执狂的完胜。,https://movie.douban.com/subject/6146955/
步履不停,249,8.8,61126人评价,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,https://movie.douban.com/subject/2222996/
廊桥遗梦,250,8.6,94014人评价,这样确切的爱，一生只有一次。,https://movie.douban.com/subject/1293929/
